TEN 2015-10-13 08:19:20.625226

Linux-4.2.0-1-amd64-x86_64-with-debian-stretch-sid
uname_result(system='Linux', node='antu', release='4.2.0-1-amd64', version='#1 SMP Debian 4.2.1-2 (2015-09-27)', machine='x86_64', processor='')

Input parameters:
-----------------
NP radius: 15.000 nm
Foster radius: 2.290 nm
Mean free path: 200.000 nm
Tau_D: 0.333 ns
Number of acceptors: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250, 251, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 264, 265, 266, 267, 268, 269, 270, 271, 272, 273, 274, 275, 276, 277, 278, 279, 280, 281, 282, 283, 284, 285, 286, 287, 288, 289, 290, 291, 292, 293, 294, 295, 296, 297, 298, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 316, 317, 318, 319, 320, 321, 322, 323, 324, 325, 326, 327, 328, 329, 330, 331, 332, 333, 334, 335, 336, 337, 338, 339, 340, 341, 342, 343, 344, 345, 346, 347, 348, 349, 350, 351, 352, 353, 354, 355, 356, 357, 358, 359, 360, 361, 362, 363, 364, 365, 366, 367, 368, 369, 370, 371, 372, 373, 374, 375, 376, 377, 378, 379, 380, 381, 382, 383, 384, 385, 386, 387, 388, 389, 390, 391, 392, 393, 394, 395, 396, 397, 398, 399, 400, 401, 402, 403, 404, 405, 406, 407, 408, 409, 410, 411, 412, 413, 414, 415, 416, 417, 418, 419, 420, 421, 422, 423, 424, 425, 426, 427, 428, 429, 430, 431, 432, 433, 434, 435, 436]
Epsilon: 1.000 nm
Number of exitations: 5000
Delta_t: 0.002 ns

Output parameters:
------------------
Probability of decay: 0.004988

+--------------+------------------+---------------------+----------------------+------------+-------------------+------------------+
| Nº acceptors | Amount of decays | Amount of transfers | Quenching efficiency | Walk mean* | LD calculate [nm] | Total time [seg] |
+--------------+------------------+---------------------+----------------------+------------+-------------------+------------------+
|      0       |      5000.0      |         0.0         |         0.0          |  199.5318  |   4.21924372438   |  79.2753152847   |
|      1       |      4873.0      |        127.0        |        0.0254        |  193.1876  |   4.17022970565   |  77.5103597641   |
|      2       |      4737.0      |        263.0        |        0.0526        |  191.6874  |   4.17656873628   |   78.320949316   |
|      3       |      4609.0      |        391.0        |        0.0782        |  184.0164  |   4.12569653914   |   75.379144907   |
|      4       |      4519.0      |        481.0        |        0.0962        |  180.4472  |   4.06500624597   |  74.3588180542   |
|      5       |      4419.0      |        581.0        |        0.1162        |  180.4532  |   4.09777499578   |  74.6514382362   |
|      6       |      4337.0      |        663.0        |        0.1326        |  171.3884  |   4.02660423827   |  71.1031575203   |
|      7       |      4177.0      |        823.0        |        0.1646        |  173.9678  |   4.01084555165   |  72.6344344616   |
|      8       |      4158.0      |        842.0        |        0.1684        |  161.7624  |   3.93524442522   |   67.832845211   |
|      9       |      4027.0      |        973.0        |        0.1946        |  161.742   |    3.9426311948   |  67.6548326015   |
|      10      |      3937.0      |        1063.0       |        0.2126        |  157.1528  |   3.94598132623   |  66.3147718906   |
|      11      |      3853.0      |        1147.0       |        0.2294        |  152.141   |    3.831260642    |  64.2419950962   |
|      12      |      3795.0      |        1205.0       |        0.241         |  150.2496  |   3.88183690146   |  63.6671571732   |
|      13      |      3669.0      |        1331.0       |        0.2662        |  147.3938  |   3.86047009669   |  62.7396199703   |
|      14      |      3656.0      |        1344.0       |        0.2688        |  143.2618  |   3.76849508565   |  61.1346709728   |
|      15      |      3516.0      |        1484.0       |        0.2968        |  139.125   |   3.74781830129   |  59.4895970821   |
|      16      |      3538.0      |        1462.0       |        0.2924        |  139.2096  |   3.73719238956   |   60.069611311   |
|      17      |      3425.0      |        1575.0       |        0.315         |  137.6604  |   3.78082516608   |   59.280850172   |
|      18      |      3378.0      |        1622.0       |        0.3244        |  131.1306  |   3.67034068502   |  56.6829199791   |
|      19      |      3292.0      |        1708.0       |        0.3416        |  128.5784  |   3.63222736429   |  55.8239555359   |
|      20      |      3215.0      |        1785.0       |        0.357         |  126.111   |   3.65264772531   |  54.9809741974   |
|      21      |      3164.0      |        1836.0       |        0.3672        |  125.908   |   3.58006248046   |  54.8560750484   |
|      22      |      3155.0      |        1845.0       |        0.369         |  123.3176  |   3.61762632695   |  53.9622147083   |
|      23      |      3054.0      |        1946.0       |        0.3892        |  121.4046  |   3.57768933966   |  53.1084811687   |
|      24      |      3027.0      |        1973.0       |        0.3946        |  123.5898  |   3.62642995492   |   54.331328392   |
|      25      |      2997.0      |        2003.0       |        0.4006        |  118.4044  |   3.52511074391   |  52.3642864227   |
|      26      |      2938.0      |        2062.0       |        0.4124        |  116.0046  |   3.51775524689   |  51.4998633862   |
|      27      |      2836.0      |        2164.0       |        0.4328        |  113.915   |    3.4677240674   |  50.4819359779   |
|      28      |      2755.0      |        2245.0       |        0.449         |  106.0864  |   3.39405606936   |  47.3810303211   |
|      29      |      2771.0      |        2229.0       |        0.4458        |  111.107   |   3.46037696666   |   49.741019249   |
|      30      |      2684.0      |        2316.0       |        0.4632        |  108.4718  |   3.46264969157   |  48.7062828541   |
|      31      |      2692.0      |        2308.0       |        0.4616        |  107.2332  |    3.4370665794   |  48.2214975357   |
