TEN 2016-10-19 15:56:51.746938

Linux-4.7.0-1-amd64-x86_64-with-debian-stretch-sid
uname_result(system='Linux', node='ein', release='4.7.0-1-amd64', version='#1 SMP Debian 4.7.5-1 (2016-09-26)', machine='x86_64', processor='')

Inputs parameters:
-----------------
NP radius mean: 11.250 nm
NP radius deviation: 0.000 nm
Tau_D: 0.333 ns
Mean free path: 50.000 nm
Epsilon: 1.000 nm

Traps numbers: 1
Traps mechanisms radius: 1.0 nm
Traps way: vol

Acceptors number: [0, 9, 46, 82, 119, 156, 229, 351]
Aceptors mechanisms radius: 4.684 nm
Aceptors way: sup

Exiton: laser
Radius electro: 0.0

Experiments: ['quenching', 'difusion_length', 'single_count']
Mechanisms: ['forster']
Steps: 1000.0
convergence: 0.001

seed: 1476903411
seeds: [1476903411, 1476903561, 1476903711, 1476903861, 1476904011, 1476904161, 1476904311, 1476904461, 1476904611, 1476904761, 1476904911, 1476905061, 1476905211, 1476905361, 1476905511, 1476905661, 1476905811, 1476905961, 1476906111, 1476906261, 1476906411, 1476906561, 1476906711, 1476906861, 1476907011, 1476907161, 1476907311, 1476907461, 1476907611, 1476907761, 1476907911, 1476908061, 1476908211, 1476908361, 1476908511, 1476908661, 1476908811, 1476908961, 1476909111, 1476909261, 1476909411, 1476909561, 1476909711, 1476909861, 1476910011, 1476910161, 1476910311, 1476910461, 1476910611, 1476910761, 1476910911, 1476911061, 1476911211, 1476911361, 1476911511, 1476911661, 1476911811, 1476911961, 1476912111, 1476912261, 1476912411, 1476912561, 1476912711, 1476912861, 1476913011, 1476913161, 1476913311, 1476913461, 1476913611, 1476913761, 1476913911, 1476914061, 1476914211, 1476914361, 1476914511, 1476914661, 1476914811, 1476914961, 1476915111, 1476915261, 1476915411, 1476915561, 1476915711, 1476915861, 1476916011, 1476916161, 1476916311, 1476916461, 1476916611, 1476916761, 1476916911, 1476917061, 1476917211, 1476917361, 1476917511, 1476917661, 1476917811, 1476917961, 1476918111, 1476918261, 1476918411, 1476918561, 1476918711, 1476918861, 1476919011, 1476919161, 1476919311, 1476919461, 1476919611, 1476919761, 1476919911, 1476920061, 1476920211, 1476920361, 1476920511, 1476920661, 1476920811, 1476920961, 1476921111, 1476921261, 1476921411, 1476921561, 1476921711, 1476921861, 1476922011, 1476922161, 1476922311, 1476922461, 1476922611, 1476922761, 1476922911, 1476923061, 1476923211, 1476923361, 1476923511, 1476923661, 1476923811, 1476923961, 1476924111, 1476924261, 1476924411, 1476924561, 1476924711, 1476924861, 1476925011, 1476925161, 1476925311, 1476925461, 1476925611, 1476925761, 1476925911, 1476926061, 1476926211, 1476926361, 1476926511, 1476926661, 1476926811, 1476926961, 1476927111, 1476927261, 1476927411, 1476927561, 1476927711, 1476927861, 1476928011, 1476928161, 1476928311, 1476928461, 1476928611, 1476928761, 1476928911, 1476929061, 1476929211, 1476929361, 1476929511]


--------------------------------------------------------------------------------
Radio: 11.25000 ~ U(11.25, 0),
Tau: 0.333, Mean_path: 50.0, Epsilon: 1.0,
Delta_t: 0.0066600000, Prob decay: 0.01980132669,
Number traps: 1, R_Mechanisms: 1.0, way: vol

Aceptores  TransfAceptores  TransfTrampas  TransfNaturales  Exitaciones  Eficiencia    LD(nm)	 PasosProm  Tiempo(minutos)

        0	         0	       17	      2983         3000  0.00000000    5.90302	  49.61033	 0.00686
        9	      7442	       38	     10520        18000  0.41344444    4.75389	  28.52189	  0.0277
       46	     16254	        6	      3740        20000  0.81270000    2.90165	   8.83200	  0.0253
       82	      8873	        1	      1126        10000  0.88730000    2.32762	   5.27920	  0.0142
      119	      9133	        1	       866        10000  0.91330000    1.96317	   3.79670	  0.0172
      156	     11145	        1	       854        12000  0.92875000    1.74151	   3.06175	  0.0238
      229	     12339	        0	       661        13000  0.94915385    1.52735	   2.26015	  0.0337
      351	     11569	        0	       431        12000  0.96408333    1.23735	   1.54817	  0.0449


--------------------------------------------------------------------------------
Ajuste de los decaimiento mediante la siguiente funcion (en cada ajuste las areas estan normalizada)
A1*exp(-t/b1) + A2*exp(-t/b2)

Aceptores		 A1		b1		A2		b2	 StandardDeviationErrors

        0	    0.03593	    0.05039	    8.62408	    0.33727	     0.580	      0.127	      0.138	      0.009	
        9	   80.39675	    0.00622	   26.60548	    0.18306	     0.186	      0.001	      0.111	      0.002	
       46	 1915.56024	    0.00436	  161.88565	    0.06358	     0.241	      0.001	      0.337	      0.003	
       82	  299.21005	    0.04269	 5446.68828	    0.00354	     0.414	      0.003	      0.236	      0.001	
      119	 10838.49835	    0.00303	  360.11262	    0.03607	     0.180	      0.000	      0.369	      0.002	
      156	 2607.21694	    0.01951	 23806.96622	    0.00002	     0.607	      0.002	      0.405	      0.000	
      229	 3535.34058	    0.01670	 37268.61645	    0.00004	     0.686	      0.002	      0.426	      0.000	
      351	 3368.63484	    0.01722	 70761.74065	    0.00000	     0.498	      0.002	      0.262	      0.000	


--------------------------------------------------------------------------------

Total time: 0.20390221277872722 min

TEN finished succefully
